SourceFilename,TemplateName,ROI_X,ROI_Y,ROI_W,ROI_H,GenerationAngle
002.tif,template_002_1.png,109,1780,2606,632,0.00
01.tif,template_01.png,80,0,4103,2950,0.00
013.tif,template_013_1.png,48,65,4181,2946,0.00
014.tif,template_014_1.png,52,0,4158,3090,0.00
02.tif,template_02_1.png,74,18,3817,4859,0.00
080a.tif,template_080a_1.png,15,10,2580,3534,0.00
1.tif,template_1_1.png,6,20,3393,1989,0.00
10.tif,template_10_1.png,31,5,1540,1981,0.00
11.tif,template_11_1.png,47,34,3049,4694,0.00
12.tif,template_12_1.png,165,74,3080,2169,0.00
13.tif,template_13.png,4,4,4093,2952,0.00
14.tif,template_14_1.png,50,13,3281,1974,0.00
15.tif,template_15_1.png,57,6,3299,2020,0.00
16.tif,template_16_1.png,108,19,2898,4299,0.00
17.tif,template_17_1.png,35,6,3092,1887,0.00
18.tif,template_18_1.png,55,45,2938,2037,0.00
2.tif,template_2_1.png,10,34,3342,1999,0.00
3.tif,template_3_1.png,64,30,3298,2186,0.00
30.tif,template_30.png,29,5,2893,4128,0.00
4.tif,template_4_1.png,81,0,3120,2011,0.00
5.tif,template_5_1.png,65,26,4269,2875,0.00
6.tif,template_6_1.png,123,160,3215,2135,0.00
7.tif,template_7_1.png,80,3,3096,2194,0.00
8.tif,template_8_1.png,83,56,1977,1386,0.00
805.tif,template_805_1.png,55,36,2864,4174,0.00
9.tif,template_9.png,12,164,4109,2662,0.00
a245.tif,template_a245_1.png,40,20,3232,4622,0.00
n290.tif,template_n290_1.png,305,330,2067,2643,0.00
n61.tif,template_n61_1.png,93,18,2813,4269,0.00
n62.tif,template_n62_1.png,173,123,2786,4111,0.00
p003.tif,template_p003_1.png,14,0,2967,2452,0.00
p040.tif,template_p040_1.png,37,0,2831,2022,0.00
v097.tif,template_v097_1.png,3,31,3289,2302,0.00
v098.tif,template_v098_2.png,27,58,3270,2269,0.00
